Checkout Options,Action,Category,Requirements to Have Action Enabled,Cost,Result,,
Express Checkout & Add to Cart,See a therapist,Mental Health,can only do once a year,"Spend 6 time blocks
With insurance: $1040
Without insurance: $5200","- 20% stress
+ 10% stress tolerance 
+3 lemons",,
Express Checkout & Add to Cart,Go to the zoo,"Entertainment
Animals",N/A,"Spend X time blocks
Costs $35/person/time block
Senior discount: $12/senior/time block","1 lemons/time block
+1% good with kids if have kids < 11",,
Express Checkout & Add to Cart,Go to the aquarium,"Entertainment
Animals",N/A,"Spend X time blocks
Costs $65/person/time block
Senior discount: $50/senior/time block","1 lemons/time block
+1% good with kids if have kids < 11",,
Express Checkout & Add to Cart,Go kayaking,"Outdoors
Physical Health",health >= 40,"Spend X time blocks
Costs $50/person/time block","1 lemons/time block
+1% good with kids if have kids < 18",,
Express Checkout & Add to Cart,Teach summer courses,Community,only for teacher/professor,Spend 4 time blocks (can only do once a year),"teacher: earn $20000, stress += 15
professor: earn $30000, stress += 7
*added to annual income --> taxed
+3 lemons",,
Express Checkout,Write a book,Author Career,"60% perseverance,
50% organization",Spend X time blocks,"1% writing/time block, 1% creativity/time block, 1% stress/time block, see salary formula
",,
Express Checkout,Self-publish book,Author Career,"completed 20 time blocks of ""write a book"" action for book not yet published","2 time block
$2500","book is published! 
10% stress
see salary formula",,
Express Checkout,Submit book to publisher,Author Career,"completed 20 time blocks of ""write a book"" action for book not yet published","2 time block
$1000","if writing > 80 and creativity > 70 then published else not
10% stress
see salary formula",,
Express Checkout & Add to Cart,Take an acting class,"Skill/Trait Development
Actor Career",N/A,"$300
2 time block","5% bravery
5% charisma
5% creativity",,
Express Checkout,Audition for commercials,Actor Career,"20% bravery
50% perseverance",2 time block,"If successful, earn $500 (-15% if got agent), 10% bravery, 2% charisma, 5% perseverance, 5% stress
If unsuccessful, 3% perseverance, 7% bravery, 5% stress",,
Express Checkout,Audition for movies,Actor Career,"50% bravery
50% perseverance",2 time block,"If successful, follow salary formula (-15% if got agent), 10% bravery, 10% charisma, 5% perseverance, 5% creativity, spend 5 time blocks, 5% stress
If unsuccessful, 3% perseverance, 7% bravery, 5% stress",,
Express Checkout ,Audition for TV shows,Actor Career,"50% bravery
50% perseverance",2 time block,"If successful, follow salary formula (-15% if got agent), 10% bravery, 8% charisma, 5% perseverance, 8% creativity, spend 7 time blocks, 5% stress
If unsuccessful, 3% perseverance, 7% bravery, 5% stress",,
Express Checkout & Add to Cart,Perform at bar,Musician Career,"9% music
20% bravery",2 time block,"2% music, 10% bravery, 2% charisma, $500, 2% stress",,
Express Checkout & Add to Cart,Perform at school dance,Musician Career,"9% music
20% bravery",2 time block,"2% music, 10% bravery, 2% charisma, $500, 2% stress",,
Express Checkout & Add to Cart,Perform at county fair,Musician Career,"9% music
20% bravery",2 time block,"2% music, 10% bravery, 2% charisma, $500, 2% stress",,
